Line Number,Word 1,Word 2,Rhyme Type
1309,hangynge,sparklynge,F
1311,yronne,sonne,M
1313,citryn,sangwyn,M
1315,yspreynd,ymeynd,F
1317,caste,caste,M
1319,sprynge,thonderynge,F
1321,grene,sene,M
1323,deduyt,whyt,M
1325,there,gere,M
1327,thynges,kynges,F
1329,compaignye,chivalrye,M
1331,part,leopart,M
1333,some,come,M
1335,alight,knyght,M
1337,citee,degree,M
1339,labour,honour,M
1341,wit,it,M
1343,feeste,leeste,M
1345,paleys,deys,M
1347,daunsynge,synge,F
1349,love,above,M
1351,adoun,mencioun,F
1353,beste,leste,M
1355,sprynge,synge,F
1357,two,tho,M
1359,corage,pilgrymage,M
1361,benigne,digne,M
1363,pas,was,M
1365,cheere,heere,M
1367,venus,vulcanus,M
1369,citheron,adoon,E
1371,smerte,herte,M
1373,telle,helle,M
1375,biwreye,seye,M
1377,weele,feele,M
1379,soore,everemoore,M
1381,be,chastitee,M
1383,helpe,yelpe,M
1385,victorie,glorie,F
1387,doun,possessioun,M
1389,servyse,wyse,M
1391,be,me,M
1393,armes,armes,F
1395,above,love,M
1397,everemo,go,M
1399,beete,sweete,M
1401,spere,bere,M
1403,lyf,wyf,M
1405,preyere,deere,M
1407,palamon,anon,F
1409,circumstaunces,observaunces,F
1411,shook,took,M
1413,day,delay,M
1415,boone,soone,M
1417,palamon,gon,M
1419,emelye,hye,M
1421,ladde,hadde,M
1423,al,shal,M
1425,gyse,sacrifise,M
1427,faire,debonaire,M
1429,welle,telle,M
1431,general,al,M
1433,charge,large,M
1435,al,cerial,M
1437,meete,beete,M
1439,biholde,olde,M
1441,cheere,heere,M
1443,grene,sene,M
1445,lowe,knowe,M
1447,desire,ire,M
1449,cruelly,I,M
1451,lyf,wyf,M
1453,compaignye,venerye,M
1455,wilde,childe,M
1457,man,kan,M
1459,thee,me,M
1461,soore,moore,M
1463,two,so,M
1465,desir,fir,M
1467,place,grace,M
1469,so,two,M
1471,me,chastitee,M
1473,falle,alle,M
1475,conserve,serve,M
1477,cleere,preyere,M
1479,queynte,queynte,M
1481,anon,agon,F
1483,whistelynge,brennynge,F
1485,anon,oon,M
1487,emelye,crye,M
1489,signyfied,cried,M
1491,heere,appeere,M
1493,hunteresse,hevynesse,M
1495,affermed,confermed,F
1497,tho,wo,M
1499,telle,dwelle,M
1501,brenne,henne,M
1503,cas,caas,M
1505,rynge,vanysshynge,F
1507,was,allas,M
1509,proteccioun,disposicioun,F
1511,weye,seye,M
1513,this,is,M
1515,sacrifise,wyse,M
1517,devocioun,orisoun,F
1519,colde,yholde,M
1521,lond,hond,M
1523,devyse,sacrifise,M
1525,deserve,serve,M
1527,thyne,pyne,M
1529,fir,desir,M
1531,beautee,free,M
1533,wille,mysfille,M
1535,las,allas,M
1537,herte,smerte,M
1539,woost,moost,M
1541,creature,endure,F
1543,fleete,heete,M
1545,place,grace,M
1547,availle,bataille,F
1549,thee,me,M
1551,victorie,glorie,F
1553,honouren,labouren,F
1555,stronge,honge,M
1557,compaignye,dye,M
1559,fynde,bynde,M
1561,adoun,offensioun,F
1563,yive,lyve,M
1565,soore,namoore,M
1567,stronge,honge,M
1569,faste,agaste,M
1571,brighte,lighte,M
1573,yaf,haf,M
1575,caste,laste,M
1577,rynge,murmurynge,F
1579,victorie,glorie,F
1581,fare,fare,M
1583,sonne,bigonne,M
1585,above,love,M
1587,armypotente,stente,M
1589,colde,olde,M
1591,art,part,M
1593,avantage,usage,M
1595,atrede,drede,M
1597,kynde,fynde,M
1599,saturne,turne,M
1601,man,wan,M
1603,cote,throte,M
1605,rebellyng,empoysonyng,M
1607,correccioun,leoun,M
1609,halles,walles,F
1611,carpenter,piler,M
1613,colde,olde,M
1615,pestilence,diligence,F
1617,knyght,hight,M
1619,nathelees,pees,M
1621,compleccioun,divisioun,F
1623,wille,fulfille,M
1625,above,love,M
1627,kan,bygan,M
1629,pars,quarta,M
1631,day,may,M
1633,plesaunce,daunce,F
1635,servyse,ryse,M
1637,fight,nyght,M
1639,sprynge,claterynge,F
1641,aboute,route,M
1643,palfreys,harneys,F
1645,weel,steel,M
1647,trappures,cote-armures,F
1649,courseres,squieres,M
1651,bokelynge,lacynge,F
1653,ydel,brydel,F
1655,also,fro,M
1657,oon,goon,M
1659,clariounes,sounes,M
1661,doun,questioun,M
1663,two,so,M
1665,berd,herd,M
1667,fighte,wighte,M
1669,divynynge,sprynge,F
1671,awaked,maked,F
1673,riche,yliche,M
1675,fet,set,M
1677,trone,soone,M
1679,reverence,sentence,F
1681,oo,ydo,M
1683,stille,wille,M
1685,discrecioun,destruccioun,F
1687,gyse,emprise,M
1689,dye,modifye,M
